og_number	global_number	parent_layer_group_number	family_number	magnetic_type	litvin_og_symbol_ascii	magnetic_point_group_symbol	source_pdf_page	point_operation_names	primed_operation_indices	anti_translation	corresponding_msg_bns_number	corresponding_msg_uni_number	corresponding_msg_og_number	basis_transform
61.5.426	426	61	5	III	p4/m'mm	4/m'mm	901	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	5,6,7,8,9,10,11,12		123.341	1001	123.3.1001	I
61.6.427	427	61	6	III	p4'/m'm'm	4'/m'm'm	904	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,7,8,9,10,13,14		123.344	1004	123.6.1004	I
61.7.428	428	61	7	III	p4'/m'mm'	4'/m'mm'	907	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,5,6,9,10,15,16		123.346	1006	123.8.1006	I
61.8.429	429	61	8	III	p4'/mmm'	4'/mmm'	910	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,7,8,11,12,15,16		123.343	1003	123.5.1003	I
61.9.430	430	61	9	III	p4'/mm'm	4'/mm'm	913	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,5,6,11,12,13,14		123.342	1002	123.4.1002	I
61.10.431	431	61	10	IV	pp4/m'm'm'	4/mmm1'	916	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10		1,0,0	125.373	1033	123.18.1016	I
61.11.432	432	61	11	IV	pp4/mm'm'	4/mmm1'	919	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10		1,0,0	127.397	1057	123.17.1015	I
61.12.433	433	61	12	IV	pp4/m'mm	4/mmm1'	922	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10		1,0,0	129.421	1081	123.16.1014	I
61.13.434	434	61	13	IV	pp4/mmm	4/mmm1'	925	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10		1,0,0	123.349	1009	123.11.1009	I
62.1.435	435	62	1	I	p4/nbm	4/mmm	928	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10			125.363	1023	125.1.1031	I
62.2.436	436	62	2	II	p4/nbm1'	4/mmm1'	931	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10			125.364	1024	125.2.1032	I
62.3.437	437	62	3	III	p4/n'b'm'	4/m'm'm'	934	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	9,10,11,12,13,14,15,16		125.371	1031	125.9.1039	I
62.4.438	438	62	4	III	p4/nb'm'	4/mm'm'	937	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	5,6,7,8,13,14,15,16		125.369	1029	125.7.1037	I
62.5.439	439	62	5	III	p4/n'bm	4/m'mm	940	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	5,6,7,8,9,10,11,12		125.365	1025	125.3.1033	I
62.6.440	440	62	6	III	p4'/n'b'm	4'/m'm'm	943	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,7,8,9,10,13,14		125.368	1028	125.6.1036	I
62.7.441	441	62	7	III	p4'/n'bm'	4'/m'mm'	946	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,5,6,9,10,15,16		125.370	1030	125.8.1038	I
62.8.442	442	62	8	III	p4'/nbm'	4'/mmm'	949	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,7,8,11,12,15,16		125.367	1027	125.5.1035	I
62.9.443	443	62	9	III	p4'/nb'm	4'/mm'm	952	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,5,6,11,12,13,14		125.366	1026	125.4.1034	I
63.1.444	444	63	1	I	p4/mbm	4/mmm	955	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10			127.387	1047	127.1.1053	I
63.2.445	445	63	2	II	p4/mbm1'	4/mmm1'	958	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10			127.388	1048	127.2.1054	I
63.3.446	446	63	3	III	p4/m'b'm'	4/m'm'm'	961	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	9,10,11,12,13,14,15,16		127.395	1055	127.9.1061	I
63.4.447	447	63	4	III	p4/mb'm'	4/mm'm'	964	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	5,6,7,8,13,14,15,16		127.393	1053	127.7.1059	I
63.5.448	448	63	5	III	p4/m'bm	4/m'mm	967	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	5,6,7,8,9,10,11,12		127.389	1049	127.3.1055	I
63.6.449	449	63	6	III	p4'/m'b'm	4'/m'm'm	970	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,7,8,9,10,13,14		127.392	1052	127.6.1058	I
63.7.450	450	63	7	III	p4'/m'bm'	4'/m'mm'	973	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,5,6,9,10,15,16		127.394	1054	127.8.1060	I
63.8.451	451	63	8	III	p4'/mbm'	4'/mmm'	976	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,7,8,11,12,15,16		127.391	1051	127.5.1057	I
63.9.452	452	63	9	III	p4'/mb'm	4'/mm'm	979	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,5,6,11,12,13,14		127.390	1050	127.4.1056	I
64.1.453	453	64	1	I	p4/nmm	4/mmm	982	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10			129.411	1071	129.1.1075	I
64.2.454	454	64	2	II	p4/nmm1'	4/mmm1'	985	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10			129.412	1072	129.2.1076	I
64.3.455	455	64	3	III	p4/n'm'm'	4/m'm'm'	988	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	9,10,11,12,13,14,15,16		129.419	1079	129.9.1083	I
64.4.456	456	64	4	III	p4/nm'm'	4/mm'm'	991	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	5,6,7,8,13,14,15,16		129.417	1077	129.7.1081	I
64.5.457	457	64	5	III	p4/n'mm	4/m'mm	994	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	5,6,7,8,9,10,11,12		129.413	1073	129.3.1077	I
64.6.458	458	64	6	III	p4'/n'm'm	4'/m'm'm	997	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,7,8,9,10,13,14		129.416	1076	129.6.1080	I
64.7.459	459	64	7	III	p4'/n'mm'	4'/m'mm'	1000	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,5,6,9,10,15,16		129.418	1078	129.8.1082	I
64.8.460	460	64	8	III	p4'/nmm'	4'/mmm'	1003	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,7,8,11,12,15,16		129.415	1075	129.5.1079	I
64.9.461	461	64	9	III	p4'/nm'm	4'/mm'm	1006	1,2_001,4+_001,4-_001,2_010,2_100,2_110,2_1-10,-1,m_001,-4+_001,-4-_001,m_010,m_100,m_110,m_1-10	3,4,5,6,11,12,13,14		129.414	1074	129.4.1078	I
65.1.462	462	65	1	I	p3	3	1009	1,3+_001,3-_001			143.1	1231	143.1.1231	I
65.2.463	463	65	2	II	p31'	31'	1011	1,3+_001,3-_001			143.2	1232	143.2.1232	I
66.1.464	464	66	1	I	p-3	-3	1013	1,3+_001,3-_001,-1,-3+_001,-3-_001			147.13	1243	147.1.1243	I
66.2.465	465	66	2	II	p-31'	-31'	1015	1,3+_001,3-_001,-1,-3+_001,-3-_001			147.14	1244	147.2.1244	I
66.3.466	466	66	3	III	p-3'	-3'	1017	1,3+_001,3-_001,-1,-3+_001,-3-_001	4,5,6		147.15	1245	147.3.1245	I
67.1.467	467	67	1	I	p312	312	1019	1,3+_001,3-_001,2_1-10,2_120,2_210			149.21	1251	149.1.1251	I
67.2.468	468	67	2	II	p3121'	3121'	1021	1,3+_001,3-_001,2_1-10,2_120,2_210			149.22	1252	149.2.1252	I
67.3.469	469	67	3	III	p312'	312'	1023	1,3+_001,3-_001,2_1-10,2_120,2_210	4,5,6		149.23	1253	149.3.1253	I
68.1.470	470	68	1	I	p321	321	1025	1,3+_001,3-_001,2_110,2_100,2_010			150.25	1255	150.1.1255	I
68.2.471	471	68	2	II	p3211'	3211'	1027	1,3+_001,3-_001,2_110,2_100,2_010			150.26	1256	150.2.1256	I
68.3.472	472	68	3	III	p32'1	32'1	1029	1,3+_001,3-_001,2_110,2_100,2_010	4,5,6		150.27	1257	150.3.1257	I
69.1.473	473	69	1	I	p3m1	3m1	1031	1,3+_001,3-_001,m_110,m_100,m_010			156.49	1279	156.1.1279	I
69.2.474	474	69	2	II	p3m11'	3m11'	1033	1,3+_001,3-_001,m_110,m_100,m_010			156.50	1280	156.2.1280	I
69.3.475	475	69	3	III	p3m'1	3m'1	1035	1,3+_001,3-_001,m_110,m_100,m_010	4,5,6		156.51	1281	156.3.1281	I
70.1.476	476	70	1	I	p31m	31m	1037	1,3+_001,3-_001,m_1-10,m_120,m_210			157.53	1283	157.1.1284	I
70.2.477	477	70	2	II	p31m1'	31m1'	1039	1,3+_001,3-_001,m_1-10,m_120,m_210			157.54	1284	157.2.1285	I
70.3.478	478	70	3	III	p31m'	31m'	1041	1,3+_001,3-_001,m_1-10,m_120,m_210	4,5,6		157.55	1285	157.3.1286	I
71.1.479	479	71	1	I	p-31m	-31m	1043	1,3+_001,3-_001,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_1-10,m_120,m_210			162.73	1303	162.1.1303	I
71.2.480	480	71	2	II	p-31m1'	-31m1'	1045	1,3+_001,3-_001,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_1-10,m_120,m_210			162.74	1304	162.2.1304	I
71.3.481	481	71	3	III	p-3'1m'	-3'1m'	1048	1,3+_001,3-_001,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_1-10,m_120,m_210	7,8,9,10,11,12		162.76	1306	162.4.1306	I
71.4.482	482	71	4	III	p-31m'	-31m'	1050	1,3+_001,3-_001,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_1-10,m_120,m_210	4,5,6,10,11,12		162.77	1307	162.5.1307	I
71.5.483	483	71	5	III	p-3'1m	-3'1m	1052	1,3+_001,3-_001,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_1-10,m_120,m_210	4,5,6,7,8,9		162.75	1305	162.3.1305	I
72.1.484	484	72	1	I	p-3m1	-3m1	1054	1,3+_001,3-_001,2_110,2_100,2_010,-1,-3+_001,-3-_001,m_110,m_100,m_010			164.85	1315	164.1.1315	I
72.2.485	485	72	2	II	p-3m11'	-3m11'	1056	1,3+_001,3-_001,2_110,2_100,2_010,-1,-3+_001,-3-_001,m_110,m_100,m_010			164.86	1316	164.2.1316	I
72.3.486	486	72	3	III	p-3'm'1	-3'm'1	1059	1,3+_001,3-_001,2_110,2_100,2_010,-1,-3+_001,-3-_001,m_110,m_100,m_010	7,8,9,10,11,12		164.88	1318	164.4.1318	I
72.4.487	487	72	4	III	p-3m'1	-3m'1	1061	1,3+_001,3-_001,2_110,2_100,2_010,-1,-3+_001,-3-_001,m_110,m_100,m_010	4,5,6,10,11,12		164.89	1319	164.5.1319	I
72.5.488	488	72	5	III	p-3'm1	-3'm1	1063	1,3+_001,3-_001,2_110,2_100,2_010,-1,-3+_001,-3-_001,m_110,m_100,m_010	4,5,6,7,8,9		164.87	1317	164.3.1317	I
73.1.489	489	73	1	I	p6	6	1065	1,3+_001,3-_001,2_001,6-_001,6+_001			168.109	1339	168.1.1339	I
73.2.490	490	73	2	II	p61'	61'	1067	1,3+_001,3-_001,2_001,6-_001,6+_001			168.110	1340	168.2.1340	I
73.3.491	491	73	3	III	p6'	6'	1069	1,3+_001,3-_001,2_001,6-_001,6+_001	4,5,6		168.111	1341	168.3.1341	I
74.1.492	492	74	1	I	p-6	-6	1071	1,3+_001,3-_001,m_001,-6-_001,-6+_001			174.133	1363	174.1.1363	I
74.2.493	493	74	2	II	p-61'	-61'	1073	1,3+_001,3-_001,m_001,-6-_001,-6+_001			174.134	1364	174.2.1364	I
74.3.494	494	74	3	III	p-6'	-6'	1075	1,3+_001,3-_001,m_001,-6-_001,-6+_001	4,5,6		174.135	1365	174.3.1365	I
75.1.495	495	75	1	I	p6/m	6/m	1077	1,3+_001,3-_001,2_001,6-_001,6+_001,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001			175.137	1367	175.1.1367	I
75.2.496	496	75	2	II	p6/m1'	6/m1'	1079	1,3+_001,3-_001,2_001,6-_001,6+_001,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001			175.138	1368	175.2.1368	I
75.3.497	497	75	3	III	p6/m'	6/m'	1082	1,3+_001,3-_001,2_001,6-_001,6+_001,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001	7,8,9,10,11,12		175.140	1370	175.4.1370	I
75.4.498	498	75	4	III	p6'/m'	6'/m'	1084	1,3+_001,3-_001,2_001,6-_001,6+_001,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001	4,5,6,10,11,12		175.141	1371	175.5.1371	I
75.5.499	499	75	5	III	p6'/m	6'/m	1086	1,3+_001,3-_001,2_001,6-_001,6+_001,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001	4,5,6,7,8,9		175.139	1369	175.3.1369	I
76.1.500	500	76	1	I	p622	622	1088	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210			177.149	1379	177.1.1379	I
76.2.501	501	76	2	II	p6221'	6221'	1091	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210			177.150	1380	177.2.1380	I
76.3.502	502	76	3	III	p62'2'	62'2'	1094	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210	7,8,9,10,11,12		177.153	1383	177.5.1383	I
76.4.503	503	76	4	III	p6'22'	6'22'	1097	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210	4,5,6,10,11,12		177.152	1382	177.4.1382	I
76.5.504	504	76	5	III	p6'2'2	6'2'2	1100	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210	4,5,6,7,8,9		177.151	1381	177.3.1381	I
77.1.505	505	77	1	I	p6mm	6mm	1103	1,3+_001,3-_001,2_001,6-_001,6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210			183.185	1415	183.1.1415	I
77.2.506	506	77	2	II	p6mm1'	6mm1'	1105	1,3+_001,3-_001,2_001,6-_001,6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210			183.186	1416	183.2.1416	I
77.3.507	507	77	3	III	p6m'm'	6m'm'	1108	1,3+_001,3-_001,2_001,6-_001,6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210	7,8,9,10,11,12		183.189	1419	183.5.1419	I
77.4.508	508	77	4	III	p6'mm'	6'mm'	1110	1,3+_001,3-_001,2_001,6-_001,6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210	4,5,6,10,11,12		183.188	1418	183.4.1418	I
77.5.509	509	77	5	III	p6'm'm	6'm'm	1112	1,3+_001,3-_001,2_001,6-_001,6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210	4,5,6,7,8,9		183.187	1417	183.3.1417	I
78.1.510	510	78	1	I	p-6m2	-6m2	1114	1,3+_001,3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,2_1-10,2_120,2_210			187.209	1439	187.1.1439	I
78.2.511	511	78	2	II	p-6m21'	-6m21'	1117	1,3+_001,3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,2_1-10,2_120,2_210			187.210	1440	187.2.1440	I
78.3.512	512	78	3	III	p-6m'2'	-6m'2'	1120	1,3+_001,3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,2_1-10,2_120,2_210	7,8,9,10,11,12		187.213	1443	187.5.1443	I
78.4.513	513	78	4	III	p-6'm2'	-6'm2'	1123	1,3+_001,3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,2_1-10,2_120,2_210	4,5,6,10,11,12		187.212	1442	187.4.1442	I
78.5.514	514	78	5	III	p-6'm'2	-6'm'2	1126	1,3+_001,3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,2_1-10,2_120,2_210	4,5,6,7,8,9		187.211	1441	187.3.1441	I
79.1.515	515	79	1	I	p-62m	-62m	1129	1,3+_001,3-_001,m_001,-6-_001,-6+_001,2_110,2_100,2_010,m_1-10,m_120,m_210			189.221	1451	189.1.1451	I
79.2.516	516	79	2	II	p-62m1'	-62m1'	1131	1,3+_001,3-_001,m_001,-6-_001,-6+_001,2_110,2_100,2_010,m_1-10,m_120,m_210			189.222	1452	189.2.1452	I
79.3.517	517	79	3	III	p-62'm'	-62'm'	1134	1,3+_001,3-_001,m_001,-6-_001,-6+_001,2_110,2_100,2_010,m_1-10,m_120,m_210	7,8,9,10,11,12		189.225	1455	189.5.1455	I
79.4.518	518	79	4	III	p-6'2m'	-6'2m'	1136	1,3+_001,3-_001,m_001,-6-_001,-6+_001,2_110,2_100,2_010,m_1-10,m_120,m_210	4,5,6,10,11,12		189.224	1454	189.4.1454	I
79.5.519	519	79	5	III	p-6'2'm	-6'2'm	1138	1,3+_001,3-_001,m_001,-6-_001,-6+_001,2_110,2_100,2_010,m_1-10,m_120,m_210	4,5,6,7,8,9		189.223	1453	189.3.1453	I
80.1.520	520	80	1	I	p6/mmm	6/mmm	1140	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210			191.233	1463	191.1.1463	I
80.2.521	521	80	2	II	p6/mmm1'	6/mmm1'	1143	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210			191.234	1464	191.2.1464	I
80.3.522	522	80	3	III	p6/m'm'm'	6/m'm'm'	1147	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210	13,14,15,16,17,18,19,20,21,22,23,24		191.241	1471	191.9.1471	I
80.4.523	523	80	4	III	p6/mm'm'	6/mm'm'	1150	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210	7,8,9,10,11,12,19,20,21,22,23,24		191.240	1470	191.8.1470	I
80.5.524	524	80	5	III	p6/m'mm	6/m'mm	1153	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210	7,8,9,10,11,12,13,14,15,16,17,18		191.235	1465	191.3.1465	I
80.6.525	525	80	6	III	p6'/m'mm'	6'/m'mm'	1156	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210	4,5,6,10,11,12,16,17,18,22,23,24		191.239	1469	191.7.1469	I
80.7.526	526	80	7	III	p6'/m'm'm	6'/m'm'm	1159	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210	4,5,6,7,8,9,16,17,18,19,20,21		191.238	1468	191.6.1468	I
80.8.527	527	80	8	III	p6'/mmm'	6'/mmm'	1162	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210	4,5,6,7,8,9,13,14,15,22,23,24		191.237	1467	191.5.1467	I
80.9.528	528	80	9	III	p6'/mm'm	6'/mm'm	1165	1,3+_001,3-_001,2_001,6-_001,6+_001,2_110,2_100,2_010,2_1-10,2_120,2_210,-1,-3+_001,-3-_001,m_001,-6-_001,-6+_001,m_110,m_100,m_010,m_1-10,m_120,m_210	4,5,6,10,11,12,13,14,15,19,20,21		191.236	1466	191.4.1466	I
